r[mm], Y_v[-], T_g[K], V_g[mkm/s]
4.0, 0.2303991648192416, 232.0172008223285, 0.8494316231377077
4.04, 0.22890181543915578, 234.62546251094636, 0.8412937882607433
4.08, 0.22743063437330568, 237.18756626922323, 0.833144689135333
4.12, 0.22598494488488563, 239.7047219846263, 0.824994250993579
4.16, 0.22456409324653415, 242.17809780221933, 0.8168514798104004
4.2, 0.22316744777660114, 244.6088219011731, 0.8087245391885142
4.24, 0.22179439792311495, 246.99798418177807, 0.8006208206226382
4.28, 0.22044435339274104, 249.34663786815236, 0.7925470077482238
4.32, 0.21911674332219355, 251.65580103148204, 0.7845091351207576
4.36, 0.21781101548972448, 253.92645803833557, 0.7765126420187656
4.4, 0.2165266355644634, 256.15956092829083, 0.7685624217161049
4.44, 0.2152630863915198, 258.3560307248449, 0.7606628666265337
4.4799999999999995, 0.21401986731088973, 260.51675868333314, 0.7528179096853345
4.52, 0.21279649350832874, 262.64260747933395, 0.7450310622983273
4.56, 0.21159249539646752, 264.7344123408361, 0.7373054491577691
4.6, 0.21040741802454688, 266.7929821272328, 0.7296438401967729
4.64, 0.20924082051525184, 268.8191003580164, 0.722048679928808
4.68, 0.20809227552721254, 270.8135261938796, 0.7145221143962793
4.720000000000001, 0.20696136874182525, 272.7769953727625, 0.7070660159317724
4.760000000000001, 0.20584769837312689, 274.7102211032252, 0.6996820059171388
4.800000000000001, 0.20475087469953124, 276.6138949173942, 0.69237147570898
4.84, 0.203670519616303, 278.4886874855888, 0.6851356058840226
4.88, 0.2026062662077126, 280.33524939461586, 0.6779753839442889
4.92, 0.20155775833787415, 282.15421189160224, 0.6708916206096222
4.96, 0.20052465025932686, 283.94618759511695, 0.6638849648139361
5.0, 0.1995066062384735, 285.71177117525895, 0.6569559175114912
5.04, 0.19850330019703777, 287.45154000425646, 0.6501048443902198
5.079999999999999, 0.1975144153687528, 289.1660547790657, 0.6433319875808451
5.119999999999999, 0.19653964397053347, 290.85586011735177, 0.6366374764429098
5.159999999999999, 0.19557868688742774, 292.5214851281735, 0.6300213375019619
5.2, 0.19463125337068254, 294.1634439586019, 0.6234835036058377
5.24, 0.19369706074829263, 295.7822363174555, 0.6170238223623102
5.28, 0.19277583414743893, 297.37834797724645, 0.6106420639151195
5.32, 0.19186730622825077, 298.95225125539855, 0.6043379281107154
5.36, 0.19097121692836172, 300.5044054757104, 0.59811105110365
5.4, 0.19008731321775063, 302.0352574110134, 0.5919610114446815
5.44, 0.18921534886339253, 303.5452417079023, 0.5858873356919864
5.48, 0.18835508420326597, 305.03478129438236, 0.5798895035826326
5.52, 0.18750628592928542, 306.5042877712217, 0.5739669527984191
5.56, 0.1866687268787538, 307.95416178776486, 0.568119083357461
5.6, 0.1858421858339484, 309.3847934029218, 0.56234526166038
5.64, 0.18502644732947326, 310.79656243200543, 0.5566448242176404
5.68, 0.18422130146703108, 312.18983878005974, 0.5510170810824706
5.72, 0.18342654373728406, 313.5649827622892, 0.5454613190118852
5.76, 0.18264197484849087, 314.9223454121616, 0.5399768043765203
5.8, 0.1818674005616211, 316.262268777738, 0.5345627858384092
5.84, 0.18110263153166484, 317.58508620674684, 0.5292184968142948
5.88, 0.1803474831548687, 318.89112262089793, 0.5239431577407292
5.92, 0.17960177542164124, 320.18069477990457, 0.5187359781559445
5.96, 0.17886533277488625, 321.45411153566283, 0.5135961586123209
6.0, 0.17813798397353087, 322.7116740770084, 0.5085228924322152
6.04, 0.17741956196102937, 323.95367616546173, 0.5035153673189477
6.08, 0.1767099037386326, 325.1804043623374, 0.49857276683382273
6.12, 0.17600885024322266, 326.39213824759054, 0.49369427174925207
6.159999999999999, 0.1753162462295239, 327.58915063074346, 0.48887906128727604
6.2, 0.17463194015650774, 328.771707754227, 0.48412631425208097
6.24, 0.17395578407781975, 329.9400694894507, 0.47943521006446027
6.28, 0.17328763353606302, 331.09448952590355, 0.4748049297055728
6.32, 0.1726273474607818, 332.2352155535714, 0.4702346565768023
6.359999999999999, 0.1719747880699959, 333.3624894389459, 0.46572357728201463
6.3999999999999995, 0.1713298207751407, 334.4765473948837, 0.4612708823380364
6.4399999999999995, 0.1706923140892791, 335.57762014456284, 0.4568757668187515
6.4799999999999995, 0.17006213953845462, 336.6659330797829, 0.45253743093782095
6.52, 0.1694391715760588, 337.74170641382216, 0.4482550805746369
6.56, 0.16882328750009812, 338.805155329077, 0.44402792774781197
6.6, 0.16821436737324313, 339.85649011968735, 0.4398551910401681
6.64, 0.16761229394555455, 340.89591632934616, 0.4357360959789123
6.680000000000001, 0.167016952579781, 341.92363488447927, 0.43166987537440277
6.720000000000001, 0.16642823117912842, 342.9398422229774, 0.4276557696206758
6.760000000000001, 0.16584602011740923, 343.94473041865285, 0.4236930269606594
6.8, 0.16527021217147786, 344.9384873015829, 0.4197809037187966
6.84, 0.16470070245586754, 345.9212965744996, 0.41591866450359527
6.88, 0.16413738835954417, 346.8933379253772, 0.41210558238244777
6.92, 0.163580169484699, 347.85478713635666, 0.4083409390308826
6.96, 0.16302894758750364, 348.80581618915176, 0.40462402485826415
6.999999999999999, 0.16248362652075365, 349.74659336706145, 0.4009541391118032
7.039999999999999, 0.1619441121783325, 350.6772833537225, 0.3973305899606114
7.079999999999999, 0.1614103124414279, 351.59804732871544, 0.3937526945614022
7.119999999999999, 0.16088213712643706, 352.50904306014627, 0.3902197791073308
7.16, 0.16035949793449833, 353.41042499431205, 0.3867311788613526
